"audio_pair","overall_music_similarity","cultural_similarity","recommendation_level","overall_music_similarity_annotations","cultural_similarity_annotations","recommendation_level_annotations","num_annotators"
"2_26-9_8","0.28","0.14","0.21","[0.271, 0.286]","[0.271, 0.0]","[0.271, 0.143]","2"
"2_27-2_35","0.35","0.35","0.49","[0.351]","[0.351]","[0.494]","1"
"2_27-4_16","0.23","0.23","0.23","[0.229]","[0.229]","[0.229]","1"
"2_27-7_16","0.08","0.22","0.08","[0.077]","[0.22]","[0.077]","1"
"2_27-7_53","0.00","0.16","0.16","[0.0]","[0.163]","[0.163]","1"
"2_28-3_42","0.04","0.04","0.32","[0.037]","[0.037]","[0.323]","1"
"2_28-3_43","0.11","0.11","0.11","[0.106]","[0.106]","[0.106]","1"
"2_28-3_48","0.39","0.39","0.39","[0.386]","[0.386]","[0.386]","1"
"2_28-5_38","0.27","0.27","0.27","[0.271]","[0.271]","[0.271]","1"
"2_28-5_52","0.49","0.07","0.21","[0.494]","[0.066]","[0.209]","1"
"2_28-6_43","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"2_28-6_5","0.19","0.19","0.19","[0.194]","[0.194]","[0.194]","1"
"2_28-7_51","0.08","0.08","0.08","[0.08]","[0.08]","[0.08]","1"
"2_29-4_14","0.51","0.51","0.51","[0.506]","[0.506]","[0.506]","1"
"2_29-4_46","0.14","0.14","0.14","[0.137]","[0.137]","[0.137]","1"
"2_29-5_30","0.40","0.26","0.11","[0.4]","[0.257]","[0.114]","1"
"2_29-5_37","0.03","0.03","0.03","[0.034]","[0.034]","[0.034]","1"
"2_29-7_38","0.33","0.33","0.61","[0.329]","[0.329]","[0.614]","1"
"2_29-9_31","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"2_3-3_7","0.32","0.32","0.18","[0.323]","[0.323]","[0.18]","1"
"2_3-4_30","0.07","0.07","0.07","[0.066]","[0.066]","[0.066]","1"
"2_3-6_27","0.01","0.01","0.01","[0.006]","[0.006]","[0.006]","1"
"2_3-8_21","0.03","0.03","0.03","[0.034]","[0.034]","[0.034]","1"
"2_3-8_46","0.14","0.14","0.14","[0.143]","[0.143]","[0.143]","1"
"2_30-2_46","0.26","0.26","0.26","[0.257]","[0.257]","[0.257]","1"
"2_30-3_30","0.32","0.32","0.32","[0.323]","[0.323]","[0.323]","1"
"2_30-3_42","0.32","0.18","0.32","[0.323]","[0.18]","[0.323]","1"
"2_30-4_21","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"2_30-4_25","0.13","0.13","0.13","[0.129]","[0.129]","[0.129]","1"
"2_30-4_37","0.14","0.14","0.14","[0.143]","[0.143]","[0.143]","1"
"2_30-6_33","0.01","0.01","0.01","[0.009]","[0.009]","[0.009]","1"
"2_30-7_28","0.22","0.08","0.08","[0.223]","[0.08]","[0.08]","1"
"2_30-8_10","0.19","0.05","0.05","[0.194]","[0.051]","[0.051]","1"
"2_31-2_41","0.68","0.96","0.53","[0.677]","[0.963]","[0.534]","1"
"2_31-4_54","0.71","0.13","0.13","[0.706]","[0.134]","[0.134]","1"
"2_32-4_46","0.45","0.73","0.02","[0.449]","[0.734]","[0.02]","1"
"2_32-7_6","0.01","0.01","0.01","[0.009]","[0.009]","[0.009]","1"
"2_32-8_8","0.13","0.13","0.13","[0.129]","[0.129]","[0.129]","1"
"2_33-4_7","0.32","0.32","0.32","[0.32]","[0.32]","[0.32]","1"
"2_33-8_32","0.69","0.27","0.41","[0.694]","[0.266]","[0.409]","1"
"2_34-6_3","0.13","0.13","0.13","[0.134]","[0.134]","[0.134]","1"
"2_34-7_22","0.21","0.21","0.21","[0.206]","[0.206]","[0.206]","1"
"2_34-8_28","0.22","0.08","0.08","[0.223]","[0.08]","[0.08]","1"
"2_35-4_45","0.44","0.72","0.44","[0.437]","[0.723]","[0.437]","1"
"2_35-4_46","0.27","0.27","0.27","[0.271]","[0.271]","[0.271]","1"
"2_35-5_41","0.13","0.13","0.13","[0.129]","[0.129]","[0.129]","1"
"2_35-5_51","0.51","0.65","0.22","[0.506]","[0.649]","[0.22]","1"
"2_35-7_16","0.19","0.19","0.19","[0.191]","[0.191]","[0.191]","1"
"2_36-6_40","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"2_36-7_17","0.33","0.33","0.33","[0.329]","[0.329]","[0.329]","1"
"2_36-7_28","0.61","0.61","0.18","[0.609]","[0.609]","[0.18]","1"
"2_36-7_53","0.22","0.08","0.08","[0.223]","[0.08]","[0.08]","1"
"2_37-8_17","0.32","0.32","0.32","[0.323]","[0.323]","[0.323]","1"
"2_37-8_41","0.41","0.70","0.13","[0.414]","[0.7]","[0.129]","1"
"2_38-4_4","0.39","0.39","0.39","[0.386]","[0.386]","[0.386]","1"
"2_38-5_16","0.04","0.04","0.04","[0.037]","[0.037]","[0.037]","1"
"2_38-5_40","0.12","0.12","0.12","[0.123]","[0.123]","[0.123]","1"
"2_38-7_17","0.72","0.00","0.00","[0.723]","[0.0]","[0.0]","1"
"2_38-8_12","0.13","0.13","0.13","[0.134]","[0.134]","[0.134]","1"
"2_38-8_49","0.08","0.08","0.08","[0.08]","[0.08]","[0.08]","1"
"2_39-3_39","0.04","0.04","0.04","[0.043]","[0.043]","[0.043]","1"
"2_39-3_5","0.29","0.01","0.01","[0.294]","[0.009]","[0.009]","1"
"2_39-5_31","0.22","0.22","0.22","[0.22]","[0.22]","[0.22]","1"
"2_39-8_29","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"2_4-5_16","0.07","0.07","0.07","[0.066]","[0.066]","[0.066]","1"
"2_4-6_7","0.27","0.27","0.27","[0.271]","[0.271]","[0.271]","1"
"2_4-7_12","0.38","0.09","0.09","[0.377]","[0.091]","[0.091]","1"
"2_40-2_49","0.17","0.31","0.89","[0.171]","[0.314]","[0.886]","1"
"2_40-3_23","0.29","0.29","0.29","[0.294]","[0.294]","[0.294]","1"
"2_40-3_28","0.29","0.29","0.29","[0.294]","[0.294]","[0.294]","1"
"2_40-3_40","0.00","0.00","0.20","[0.0]","[0.0]","[0.2]","1"
"2_40-4_33","1.00","1.00","1.00","[1.0]","[1.0]","[1.0]","1"
"2_40-4_4","0.33","0.19","0.62","[0.334]","[0.191]","[0.62]","1"
"2_41-5_25","0.03","0.03","0.03","[0.034]","[0.034]","[0.034]","1"
"2_41-5_41","0.23","0.23","0.09","[0.234]","[0.234]","[0.091]","1"
"2_41-6_25","0.26","0.26","0.26","[0.257]","[0.257]","[0.257]","1"
"2_41-7_10","0.11","0.11","0.11","[0.106]","[0.106]","[0.106]","1"
"2_41-8_28","0.47","0.33","0.33","[0.471]","[0.329]","[0.329]","1"
"2_41-8_32","0.48","0.19","0.19","[0.48]","[0.194]","[0.194]","1"
"2_42-4_21","0.25","0.25","0.39","[0.249]","[0.249]","[0.391]","1"
"2_42-7_23","0.29","0.29","0.29","[0.294]","[0.294]","[0.294]","1"
"2_42-8_14","0.28","0.28","0.28","[0.28]","[0.28]","[0.28]","1"
"2_42-9_21","0.08","0.08","0.08","[0.08]","[0.08]","[0.08]","1"
"2_43-4_35","0.07","0.00","0.07","[0.071]","[0.0]","[0.071]","1"
"2_43-4_47","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"2_43-9_2","0.01","0.43","0.01","[0.006]","[0.434]","[0.006]","1"
"2_44-4_43","0.36","0.36","0.22","[0.363]","[0.363]","[0.22]","1"
"2_44-4_48","0.16","0.59","0.16","[0.163]","[0.591]","[0.163]","1"
"2_44-5_15","0.37","0.37","0.37","[0.371]","[0.371]","[0.371]","1"
"2_44-9_4","0.14","0.14","0.00","[0.143]","[0.143]","[0.0]","1"
"2_45-3_45","0.21","0.21","0.07","[0.209]","[0.209]","[0.066]","1"
"2_45-3_7","0.47","0.33","0.33","[0.471]","[0.329]","[0.329]","1"
"2_45-5_25","0.14","0.14","0.14","[0.137]","[0.137]","[0.137]","1"
"2_45-8_53","0.08","0.37","0.00","[0.08]","[0.366]","[0.0]","1"
"2_46-2_53","0.23","0.23","0.23","[0.229]","[0.229]","[0.229]","1"
"2_46-3_12","0.08","0.08","0.08","[0.08]","[0.08]","[0.08]","1"
"2_46-3_44","0.32","0.03","0.03","[0.32]","[0.034]","[0.034]","1"
"2_46-4_25","0.32","0.32","0.32","[0.323]","[0.323]","[0.323]","1"
"2_46-8_7","0.11","0.11","0.11","[0.106]","[0.106]","[0.106]","1"
"2_47-3_43","0.17","0.17","0.46","[0.171]","[0.171]","[0.457]","1"
"2_47-7_22","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"2_47-8_11","0.14","0.29","0.00","[0.143]","[0.286]","[0.0]","1"
"2_47-9_27","0.01","0.58","0.01","[0.006]","[0.577]","[0.006]","1"
"2_48-3_46","0.17","0.89","0.00","[0.171]","[0.886]","[0.0]","1"
"2_48-6_28","0.29","0.29","0.29","[0.294]","[0.294]","[0.294]","1"
"2_48-8_14","0.11","0.11","0.11","[0.109]","[0.109]","[0.109]","1"
"2_48-9_30","0.03","0.03","0.03","[0.034]","[0.034]","[0.034]","1"
"2_49-3_29","0.44","0.15","0.29","[0.437]","[0.151]","[0.294]","1"
"2_49-3_38","0.61","0.61","0.90","[0.614]","[0.614]","[0.9]","1"
"2_49-3_8","0.32","0.32","0.32","[0.323]","[0.323]","[0.323]","1"
"2_49-9_32","0.14","0.42","0.28","[0.137]","[0.423]","[0.28]","1"
"2_50-4_20","0.14","0.14","0.14","[0.137]","[0.137]","[0.137]","1"
"2_50-4_30","0.02","0.02","0.02","[0.023]","[0.023]","[0.023]","1"
"2_50-7_45","0.27","0.27","0.27","[0.271]","[0.271]","[0.271]","1"
"2_50-7_48","0.01","0.16","0.01","[0.014]","[0.157]","[0.014]","1"
"2_50-9_2","0.18","0.18","0.03","[0.177]","[0.177]","[0.034]","1"
"2_50-9_25","0.29","0.15","0.15","[0.294]","[0.151]","[0.151]","1"
"2_51-3_33","0.63","0.49","0.91","[0.629]","[0.486]","[0.914]","1"
"2_51-8_19","0.21","0.07","0.00","[0.209]","[0.066]","[0.0]","1"
"2_51-8_53","0.28","0.14","0.14","[0.28]","[0.137]","[0.137]","1"
"2_51-9_32","0.28","0.28","0.28","[0.28]","[0.28]","[0.28]","1"
"2_52-4_4","0.22","0.22","0.22","[0.22]","[0.22]","[0.22]","1"
"2_52-5_5","0.47","0.61","0.61","[0.471]","[0.614]","[0.614]","1"
"2_52-6_6","0.18","0.47","0.18","[0.18]","[0.466]","[0.18]","1"
"2_52-9_46","0.18","0.18","0.18","[0.177]","[0.177]","[0.177]","1"
"2_53-3_20","0.18","0.18","0.18","[0.18]","[0.18]","[0.18]","1"
"2_53-7_38","0.22","0.22","0.36","[0.22]","[0.22]","[0.363]","1"
"2_53-8_1","0.47","0.32","0.18","[0.466]","[0.323]","[0.18]","1"
"2_54-3_23","0.02","0.02","0.02","[0.023]","[0.023]","[0.023]","1"
"2_6-7_13","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"2_7-3_36","0.18","0.18","0.18","[0.18]","[0.18]","[0.18]","1"
"2_7-7_49","0.00","0.08","0.00","[0.0]","[0.08]","[0.0]","1"
"2_7-9_4","0.14","0.14","0.00","[0.143]","[0.143]","[0.0]","1"
"2_8-3_33","0.51","0.22","0.37","[0.509]","[0.223]","[0.366]","1"
"2_8-8_34","0.21","0.21","0.21","[0.209]","[0.209]","[0.209]","1"
"2_9-3_47","0.04","0.04","0.04","[0.037]","[0.037]","[0.037]","1"
"2_9-5_6","0.33","0.33","0.33","[0.329]","[0.329]","[0.329]","1"
"2_9-9_46","0.06","0.34","0.34","[0.057]","[0.343]","[0.343]","1"
"2_9-9_5","0.28","0.28","0.28","[0.28]","[0.28]","[0.28]","1"
"3_1-4_41","0.41","0.41","0.12","[0.409]","[0.409]","[0.123]","1"
"3_10-3_52","1.00","1.00","1.00","[1.0]","[1.0]","[1.0]","1"
"3_10-6_48","0.41","0.84","0.70","[0.414]","[0.843]","[0.7]","1"
"3_10-7_47","0.23","0.23","0.23","[0.229]","[0.229]","[0.229]","1"
"3_12-7_20","0.23","0.23","0.51","[0.229]","[0.229]","[0.514]","1"
"3_12-8_6","0.14","0.57","0.85","[0.137]","[0.566]","[0.851]","1"
"3_12-9_43","0.46","0.03","0.18","[0.463]","[0.034]","[0.177]","1"
"3_13-3_26","0.71","0.13","0.42","[0.706]","[0.134]","[0.42]","1"
"3_13-5_33","0.49","0.49","0.91","[0.486]","[0.486]","[0.914]","1"
"3_13-6_3","0.86","0.86","0.86","[0.857]","[0.857]","[0.857]","1"
"3_13-6_31","0.82","0.25","0.11","[0.82]","[0.249]","[0.106]","1"
"3_13-8_42","0.59","0.31","0.88","[0.594]","[0.309]","[0.88]","1"
"3_14-6_41","0.71","0.13","0.28","[0.706]","[0.134]","[0.277]","1"
"3_14-6_42","0.33","0.19","0.62","[0.334]","[0.191]","[0.62]","1"
"3_14-7_2","0.34","0.77","0.77","[0.337]","[0.766]","[0.766]","1"
"3_15-4_1","0.61","0.47","0.61","[0.614]","[0.471]","[0.614]","1"
"3_15-6_6","0.17","0.17","0.17","[0.171]","[0.171]","[0.171]","1"
"3_15-7_45","0.69","0.27","0.27","[0.694]","[0.266]","[0.266]","1"
"3_15-8_29","0.14","0.14","0.42","[0.137]","[0.137]","[0.423]","1"
"3_15-9_42","0.26","0.11","0.00","[0.257]","[0.114]","[0.0]","1"
"3_16-5_24","0.47","0.33","0.47","[0.471]","[0.329]","[0.471]","1"
"3_16-8_12","0.15","0.01","0.01","[0.151]","[0.009]","[0.009]","1"
"3_17-9_51","0.21","0.21","0.21","[0.209]","[0.209]","[0.209]","1"
"3_18-8_48","0.37","0.51","0.51","[0.371]","[0.514]","[0.514]","1"
"3_18-9_40","0.27","0.27","0.27","[0.266]","[0.266]","[0.266]","1"
"3_19-3_22","0.75","1.00","0.89","[0.749]","[1.0]","[0.891]","1"
"3_19-4_42","0.47","0.18","0.89","[0.466]","[0.18]","[0.894]","1"
"3_19-5_41","0.00","0.13","0.84","[0.0]","[0.129]","[0.843]","1"
"3_2-3_51","0.80","1.00","1.00","[1.0, 0.666, 0.714]","[1.0, 0.951, 0.857]","[1.0, 0.951, 0.857]","3"
"3_2-4_13","0.02","0.09","0.02","[0.0, 0.043]","[0.0, 0.186]","[0.0, 0.043]","2"
"3_2-4_8","0.21","0.21","0.21","[0.206]","[0.206]","[0.206]","1"
"3_2-5_22","0.42","0.51","0.32","[0.534, 0.457, 0.257]","[0.677, 0.457, 0.4]","[0.534, 0.171, 0.257]","3"
"3_2-6_24","0.15","0.15","0.01","[0.149]","[0.149]","[0.006]","1"
"3_2-6_53","0.16","0.73","0.01","[0.157]","[0.729]","[0.014]","1"
"3_2-7_1","0.52","0.38","0.31","[0.651, 0.391]","[0.509, 0.249]","[0.509, 0.106]","2"
"3_2-7_32","0.30","0.40","0.54","[0.463, 0.18, 0.263]","[0.891, 0.18, 0.12]","[0.606, 0.894, 0.12]","3"
"3_2-8_15","0.32","0.18","0.32","[0.323]","[0.18]","[0.323]","1"
"3_2-8_5","0.28","0.42","0.42","[0.28]","[0.423]","[0.423]","1"
"3_2-9_22","0.24","0.24","0.33","[0.286, 0.209, 0.22]","[0.143, 0.209, 0.363]","[0.571, 0.209, 0.22]","3"
"3_20-5_37","0.68","0.11","0.11","[0.677]","[0.106]","[0.106]","1"
"3_20-9_45","0.06","0.06","0.06","[0.063]","[0.063]","[0.063]","1"
"3_21-8_1","1.00","0.61","0.32","[1.0]","[0.609]","[0.323]","1"
"3_22-6_16","0.42","0.28","0.42","[0.42]","[0.277]","[0.42]","1"
"3_22-9_27","0.27","0.27","0.41","[0.271]","[0.271]","[0.414]","1"
"3_23-8_25","0.40","0.54","0.54","[0.4]","[0.543]","[0.543]","1"
"3_24-5_32","0.74","0.17","0.88","[0.737]","[0.166]","[0.88]","1"
"3_24-9_13","0.29","0.29","0.44","[0.294]","[0.294]","[0.437]","1"
"3_26-6_30","0.17","0.17","0.17","[0.171]","[0.171]","[0.171]","1"
"3_26-6_36","0.27","0.41","0.41","[0.271]","[0.414]","[0.414]","1"
"3_27-4_22","0.15","0.44","0.01","[0.151]","[0.437]","[0.009]","1"
"3_27-6_47","0.02","0.02","0.02","[0.023]","[0.023]","[0.023]","1"
"3_27-8_2","0.88","0.73","1.00","[0.877]","[0.734]","[1.0]","1"
"3_27-9_43","0.21","0.21","0.21","[0.206]","[0.206]","[0.206]","1"
"3_28-3_39","0.37","0.66","0.66","[0.371]","[0.657]","[0.657]","1"
"3_28-3_9","0.92","1.00","0.92","[0.923, 0.92]","[1.0, 1.0]","[0.78, 1.0]","2"
"3_28-4_14","0.63","0.35","0.35","[0.634]","[0.349]","[0.349]","1"
"3_28-5_2","0.28","0.42","0.42","[0.277]","[0.42]","[0.42]","1"
"3_29-9_40","0.66","0.38","0.38","[0.663]","[0.377]","[0.377]","1"
"3_3-3_41","0.87","0.87","1.00","[0.871]","[0.871]","[1.0]","1"
"3_3-7_36","0.32","0.18","0.03","[0.32]","[0.177]","[0.034]","1"
"3_30-5_15","0.08","0.08","0.00","[0.077]","[0.077]","[0.0]","1"
"3_30-7_30","0.43","0.14","1.00","[0.429]","[0.143]","[1.0]","1"
"3_30-9_41","0.21","0.21","0.21","[0.206]","[0.206]","[0.206]","1"
"3_31-4_6","0.07","0.07","0.36","[0.071]","[0.071]","[0.357]","1"
"3_31-6_7","0.32","0.32","0.18","[0.323]","[0.323]","[0.18]","1"
"3_31-8_39","0.65","0.36","0.22","[0.649]","[0.363]","[0.22]","1"
"3_32-5_49","0.13","0.13","0.56","[0.129]","[0.129]","[0.557]","1"
"3_32-7_11","0.00","0.04","0.00","[0.0]","[0.043]","[0.0]","1"
"3_32-7_24","0.54","0.69","0.11","[0.543]","[0.686]","[0.114]","1"
"3_33-3_45","0.53","0.53","0.39","[0.534]","[0.534]","[0.391]","1"
"3_33-4_30","0.36","0.36","1.00","[0.357]","[0.357]","[1.0]","1"
"3_33-8_11","0.40","0.11","0.83","[0.4]","[0.114]","[0.829]","1"
"3_33-9_33","0.32","0.04","0.18","[0.323]","[0.037]","[0.18]","1"
"3_34-5_15","0.28","0.28","0.42","[0.28]","[0.28]","[0.423]","1"
"3_34-6_32","0.98","0.69","0.98","[0.977]","[0.691]","[0.977]","1"
"3_34-9_17","0.22","0.22","0.36","[0.22]","[0.22]","[0.363]","1"
"3_35-4_21","0.47","0.47","0.75","[0.466]","[0.466]","[0.751]","1"
"3_35-4_7","0.18","0.18","0.18","[0.18]","[0.18]","[0.18]","1"
"3_35-6_26","0.47","0.61","0.33","[0.471]","[0.614]","[0.329]","1"
"3_36-4_43","0.54","0.54","0.40","[0.543]","[0.543]","[0.4]","1"
"3_36-5_19","1.00","1.00","1.00","[1.0]","[1.0]","[1.0]","1"
"3_36-6_22","0.47","0.04","0.32","[0.466]","[0.037]","[0.323]","1"
"3_37-4_6","0.16","0.87","0.16","[0.157]","[0.871]","[0.157]","1"
"3_37-6_45","0.85","0.57","0.71","[0.851]","[0.566]","[0.709]","1"
"3_37-8_51","0.34","0.19","0.77","[0.337]","[0.194]","[0.766]","1"
"3_38-5_4","1.00","1.00","1.00","[1.0]","[1.0]","[1.0]","1"
"3_38-5_45","0.42","0.14","0.14","[0.423]","[0.137]","[0.137]","1"
"3_39-6_37","0.31","0.45","0.17","[0.309]","[0.451]","[0.166]","1"
"3_39-9_20","0.49","0.21","0.63","[0.491]","[0.206]","[0.634]","1"
"3_40-6_15","0.13","0.13","0.13","[0.134]","[0.134]","[0.134]","1"
"3_40-9_5","0.05","0.62","0.05","[0.051]","[0.623]","[0.051]","1"
"3_41-4_11","0.58","0.44","0.44","[0.58]","[0.437]","[0.437]","1"
"3_41-4_29","0.28","0.42","0.28","[0.28]","[0.423]","[0.28]","1"
"3_41-5_30","0.79","0.36","0.22","[0.791]","[0.363]","[0.22]","1"
"3_41-5_52","0.28","0.28","0.28","[0.28]","[0.28]","[0.28]","1"
"3_41-5_53","0.79","0.51","0.51","[0.794]","[0.509]","[0.509]","1"
"3_41-7_48","0.74","0.17","0.74","[0.737]","[0.166]","[0.737]","1"
"3_41-8_41","0.28","0.57","0.14","[0.28]","[0.566]","[0.137]","1"
"3_41-9_43","0.13","0.13","0.41","[0.129]","[0.129]","[0.414]","1"
"3_42-8_36","0.77","0.77","0.34","[0.766]","[0.766]","[0.337]","1"
"3_42-9_44","0.29","0.14","0.29","[0.286]","[0.143]","[0.286]","1"
"3_43-6_51","0.69","0.55","0.69","[0.694]","[0.551]","[0.694]","1"
"3_44-4_33","0.26","0.26","0.26","[0.263]","[0.263]","[0.263]","1"
"3_44-8_35","0.01","0.01","0.15","[0.009]","[0.009]","[0.151]","1"
"3_44-9_44","0.33","0.04","0.19","[0.329]","[0.043]","[0.186]","1"
"3_45-3_54","0.55","0.55","0.55","[0.551]","[0.551]","[0.551]","1"
"3_45-7_41","0.06","0.21","0.21","[0.063]","[0.206]","[0.206]","1"
"3_46-5_5","0.32","0.47","0.32","[0.323]","[0.466]","[0.323]","1"
"3_46-8_35","0.27","0.27","0.27","[0.271]","[0.271]","[0.271]","1"
"3_46-8_49","0.25","0.25","0.39","[0.249]","[0.249]","[0.391]","1"
"3_47-4_4","0.71","0.57","0.85","[0.709]","[0.566]","[0.851]","1"
"3_47-5_28","0.68","0.68","0.53","[0.677]","[0.677]","[0.534]","1"
"3_47-7_17","1.00","1.00","0.00","[1.0]","[1.0]","[0.0]","1"
"3_47-9_15","0.13","0.13","0.41","[0.129]","[0.129]","[0.414]","1"
"3_48-4_2","0.17","0.17","0.17","[0.166]","[0.166]","[0.166]","1"
"3_48-4_26","0.40","0.26","0.54","[0.4]","[0.257]","[0.543]","1"
"3_48-4_41","0.12","0.12","0.26","[0.12]","[0.12]","[0.263]","1"
"3_48-5_3","0.51","0.51","0.51","[0.506]","[0.506]","[0.506]","1"
"3_48-9_23","0.26","0.26","0.26","[0.257]","[0.257]","[0.257]","1"
"3_49-4_44","0.26","0.69","0.26","[0.257]","[0.686]","[0.257]","1"
"3_49-6_32","0.89","0.32","0.89","[0.894]","[0.323]","[0.894]","1"
"3_49-8_24","0.12","0.41","0.12","[0.12]","[0.406]","[0.12]","1"
"3_49-9_50","0.37","0.22","0.37","[0.366]","[0.223]","[0.366]","1"
"3_5-5_48","0.55","0.27","0.41","[0.551]","[0.266]","[0.409]","1"
"3_5-8_10","0.20","0.06","0.06","[0.2]","[0.057]","[0.057]","1"
"3_50-5_40","0.53","0.11","0.53","[0.534]","[0.106]","[0.534]","1"
"3_50-5_54","0.21","0.21","0.21","[0.206]","[0.206]","[0.206]","1"
"3_50-6_22","0.41","0.41","0.41","[0.409]","[0.409]","[0.409]","1"
"3_50-9_31","0.01","0.15","0.01","[0.006]","[0.149]","[0.006]","1"
"3_51-4_13","0.28","0.21","0.42","[0.191, 0.363]","[0.191, 0.22]","[0.62, 0.22]","2"
"3_51-4_8","0.56","0.71","0.56","[0.563]","[0.706]","[0.563]","1"
"3_51-5_22","0.50","0.57","0.43","[0.723, 0.271]","[0.437, 0.7]","[0.151, 0.7]","2"
"3_51-5_34","0.48","0.55","0.62","[0.251, 0.7]","[0.109, 0.986]","[0.251, 0.986]","2"
"3_51-6_24","0.55","0.27","0.41","[0.551]","[0.266]","[0.409]","1"
"3_51-7_1","0.14","0.29","0.14","[0.143]","[0.286]","[0.143]","1"
"3_51-7_32","0.28","0.00","0.28","[0.277]","[0.0]","[0.277]","1"
"3_51-8_15","0.15","0.15","0.15","[0.151]","[0.151]","[0.151]","1"
"3_51-8_5","0.90","0.76","1.00","[0.9]","[0.757]","[1.0]","1"
"3_51-9_22","0.49","0.35","0.49","[0.494]","[0.351]","[0.494]","1"
"3_51-9_8","0.11","0.11","0.11","[0.206, 0.006]","[0.206, 0.006]","[0.206, 0.006]","2"
"3_52-5_3","0.57","0.71","0.71","[0.566]","[0.709]","[0.709]","1"
"3_52-6_29","0.14","0.42","0.42","[0.137]","[0.423]","[0.423]","1"
"3_52-7_48","0.41","0.27","0.27","[0.409]","[0.266]","[0.266]","1"
"3_53-7_16","0.43","0.29","0.14","[0.429]","[0.286]","[0.143]","1"
"3_53-7_45","0.56","0.56","0.71","[0.563]","[0.563]","[0.706]","1"
"3_53-7_50","0.34","0.91","0.05","[0.337]","[0.909]","[0.051]","1"
"3_53-8_22","0.27","0.27","0.12","[0.266]","[0.266]","[0.123]","1"
"3_54-9_23","0.07","0.00","0.21","[0.071]","[0.0]","[0.214]","1"
"3_6-7_7","0.06","0.06","0.06","[0.057]","[0.057]","[0.057]","1"
"3_6-9_17","0.13","0.13","0.41","[0.129]","[0.129]","[0.414]","1"
"3_7-5_25","0.32","0.32","0.32","[0.323]","[0.323]","[0.323]","1"
"3_7-7_23","0.92","1.00","1.00","[0.92]","[1.0]","[1.0]","1"
"3_7-7_37","0.32","0.18","0.18","[0.32]","[0.177]","[0.177]","1"
"3_7-9_51","0.07","0.07","0.21","[0.071]","[0.071]","[0.214]","1"
"3_8-7_54","0.42","0.13","0.71","[0.42]","[0.134]","[0.706]","1"
"3_9-6_12","0.42","0.57","0.57","[0.423]","[0.566]","[0.566]","1"
"3_9-7_48","0.13","0.42","0.13","[0.134]","[0.42]","[0.134]","1"
"3_9-8_10","0.85","1.00","1.00","[0.849]","[1.0]","[1.0]","1"
"4_1-4_11","0.41","0.69","0.83","[0.406]","[0.691]","[0.834]","1"
"4_1-5_25","0.59","0.73","0.73","[0.591]","[0.734]","[0.734]","1"
"4_1-6_20","0.40","0.40","0.54","[0.4]","[0.4]","[0.543]","1"
"4_1-7_28","0.75","0.18","0.89","[0.751]","[0.18]","[0.894]","1"
"4_10-5_10","0.45","0.17","0.59","[0.451]","[0.166]","[0.594]","1"
"4_11-4_19","0.87","0.87","0.87","[0.866]","[0.866]","[0.866]","1"
"4_11-7_49","0.44","0.58","0.44","[0.437]","[0.58]","[0.437]","1"
"4_11-8_1","0.36","0.50","0.79","[0.357]","[0.5]","[0.786]","1"
"4_11-8_8","0.79","0.65","0.79","[0.791]","[0.649]","[0.791]","1"
"4_11-9_34","0.33","0.33","0.33","[0.329]","[0.329]","[0.329]","1"
"4_12-6_18","0.62","0.77","0.77","[0.623]","[0.766]","[0.766]","1"
"4_12-7_53","0.44","0.44","0.29","[0.437]","[0.437]","[0.294]","1"
"4_13-4_8","0.66","0.66","0.45","[0.78, 0.543]","[0.78, 0.543]","[0.78, 0.114]","2"
"4_13-5_22","0.58","0.58","0.58","[0.229, 0.937]","[0.229, 0.937]","[0.229, 0.937]","2"
"4_13-5_34","0.63","0.56","0.27","[0.649, 0.606]","[0.506, 0.606]","[0.506, 0.034]","2"
"4_13-6_24","0.75","0.70","0.70","[0.766, 0.666, 0.82]","[0.623, 0.666, 0.82]","[0.623, 0.666, 0.82]","3"
"4_13-6_53","0.80","0.80","0.88","[0.643, 0.966]","[0.786, 0.823]","[0.786, 0.966]","2"
"4_13-7_1","0.61","0.66","0.61","[0.649, 0.751, 0.423]","[0.791, 0.609, 0.566]","[0.791, 0.609, 0.423]","3"
"4_13-7_32","0.90","0.61","0.76","[0.9]","[0.614]","[0.757]","1"
"4_13-8_15","0.13","0.20","0.13","[0.12, 0.143]","[0.12, 0.286]","[0.12, 0.143]","2"
"4_13-9_22","0.40","0.18","0.18","[0.277, 0.52]","[0.134, 0.234]","[0.134, 0.234]","2"
"4_13-9_8","0.04","0.04","0.04","[0.037]","[0.037]","[0.037]","1"
"4_14-4_17","0.34","0.06","0.06","[0.343]","[0.057]","[0.057]","1"
"4_14-4_35","0.24","0.24","0.38","[0.237]","[0.237]","[0.38]","1"
"4_14-7_54","0.29","0.57","0.43","[0.286]","[0.571]","[0.429]","1"
